Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Freezer,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Electricity: Pool Pump,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Electricity: Pool Pump,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Crawlspace - Vented,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,19.942,0.764,17.337,0.067,0.0,0.0,0.02,0.007,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.007,0.572,0.022,12.357,4.98,3.60254,3.60254,1.04886,1.04886,2.55368,0.09156,0.0,0.0,0.02703,0.00998,0.0,0.05462,0.04024,0.0,0.0,0.0,0.0,0.01015,0.7851,0.03017,1.82018,0.7335,0.0,0.0,5.328,1.79,10.113,0.0,4.071,0.438,0.0,0.0,46.065,52.802,70.0,70.0,75.0,98.239,0.0,0.0,50.0,46.307,76.0,6.935,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,17.337,0.747,14.788,0.08,0.05,0.0,0.013,0.007,0.0,0.039,0.029,0.0,0.0,0.0,0.0,0.005,0.502,0.022,14.788,0.0,3.19105,3.19105,1.01282,1.01282,2.17823,0.10812,0.06777,0.0,0.01777,0.00985,0.0,0.05255,0.03872,0.0,0.0,0.0,0.0,0.00722,0.68103,0.02977,2.17823,0.0,0.0,0.0,0.0,0.0,12.09,0.0,0.0,0.429,0.0,0.0,46.274,53.547,70.0,70.0,75.0,106.596,0.0,0.0,48.2,45.399,81.0,8.053,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,19.923,0.702,17.527,0.087,0.0,0.0,0.013,0.007,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.005,0.502,0.022,16.056,1.471,3.5338,3.5338,0.95213,0.95213,2.58167,0.11741,0.0,0.0,0.01777,0.00986,0.0,0.05121,0.03773,0.0,0.0,0.0,0.0,0.00722,0.68115,0.02978,2.36499,0.21669,0.0,0.0,0.0,0.0,13.137,0.0,0.0,0.444,0.0,0.0,47.636,54.484,70.0,70.0,75.0,102.016,0.0,0.0,50.0,47.253,82.0,8.053,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,19.224,0.755,16.648,0.09,0.0,0.0,0.013,0.007,0.0,0.037,0.027,0.0,0.0,0.0,0.0,0.007,0.545,0.029,16.648,0.0,3.47618,3.47618,1.02397,1.02397,2.45221,0.1218,0.0,0.0,0.01778,0.00986,0.0,0.04989,0.03676,0.0,0.0,0.0,0.0,0.00952,0.73863,0.03973,2.45221,0.0,0.0,0.0,0.0,0.0,13.621,0.0,0.0,0.436,0.0,0.0,47.874,54.956,70.0,70.0,75.0,95.219,0.0,0.0,50.0,47.253,82.0,5.816,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,21.498,0.743,18.962,0.094,0.0,0.0,0.013,0.007,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.005,0.502,0.059,17.491,1.471,3.80449,3.80449,1.01135,1.01135,2.79313,0.12839,0.0,0.0,0.01784,0.00989,0.0,0.0487,0.03588,0.0,0.0,0.0,0.0,0.00725,0.68369,0.07971,2.57648,0.21665,0.0,0.0,0.0,0.0,14.307,0.0,0.0,0.433,0.0,0.0,48.087,55.197,70.0,70.0,75.0,98.239,0.0,0.0,50.0,47.253,82.0,6.935,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,21.485,0.849,18.588,0.1,0.05,0.0,0.013,0.006,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.005,0.502,0.11,18.588,0.0,3.89508,3.89508,1.15712,1.15712,2.73796,0.13666,0.06814,0.0,0.01787,0.00797,0.0,0.04878,0.03594,0.0,0.0,0.0,0.0,0.00726,0.6848,0.1497,2.73796,0.0,0.0,0.0,0.0,0.0,15.203,0.0,0.0,0.443,0.0,0.0,46.67,55.062,70.0,70.0,75.0,100.11,0.0,0.0,48.2,45.399,81.0,5.816,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,35.32,0.944,32.098,0.112,0.05,0.0,0.013,0.006,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.005,0.502,0.19,20.77,11.328,6.04914,6.04914,1.32115,1.32115,4.72798,0.15673,0.06994,0.0,0.01834,0.00774,0.0,0.05284,0.03894,0.0,0.0,0.0,0.0,0.00745,0.70286,0.26631,3.05941,1.66858,0.0,0.0,10.298,3.46,16.985,0.0,7.853,0.437,0.0,0.0,44.623,54.45,70.0,70.0,75.0,107.583,0.0,0.0,44.6,42.837,87.0,4.698,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,37.038,1.291,32.632,0.111,0.0,0.0,0.013,0.005,0.0,0.04,0.029,0.263,0.0,0.0,0.0,0.005,0.502,0.322,20.52,12.112,6.58123,6.58123,1.7746,1.7746,4.80662,0.15211,0.0,0.0,0.01802,0.00738,0.0,0.05464,0.04026,0.36169,0.0,0.0,0.0,0.00732,0.69045,0.44273,3.02256,1.78406,0.0,1.681,11.397,3.829,16.815,0.0,9.661,0.437,0.0,0.0,47.056,56.645,70.0,70.0,75.0,95.219,0.0,0.0,50.0,47.256,82.0,5.816,0.951,28.53
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,28.414,1.948,21.768,0.091,0.0,0.0,0.126,0.005,0.0,0.041,0.03,0.158,0.0,0.0,0.0,0.01,0.871,0.615,16.961,4.807,5.37304,5.37304,2.16656,2.16656,3.20648,0.10179,0.0,0.0,0.1405,0.0058,0.0,0.04534,0.03341,0.17569,0.0,0.0,0.0,0.01091,0.96887,0.68425,2.49841,0.70808,0.0,2.205,2.174,0.731,13.893,0.0,2.919,0.437,0.0,0.0,53.828,57.378,70.0,70.0,75.0,82.491,0.0,0.0,53.6,49.643,76.0,4.698,32.968,104.926
