Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Freezer,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Plug Loads,End Use: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Basement - Unconditioned,Temperature: Garage,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,15.896,4.659,0.0,3.786,0.256,0.0,0.0,0.0,0.0,0.05,0.003,0.029,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.465,0.0,6.39848,6.39848,6.39848,6.39848,0.0,5.20016,0.35227,0.0,0.0,0.0,0.0,0.06876,0.00353,0.03994,0.0,0.05462,0.04024,0.0,0.0,0.0,0.0,0.63896,0.0,0.0,0.0,0.0,0.0,28.167,0.124,0.0,0.0,0.311,0.0,0.0,30.112,56.871,44.081,67.0,67.0,72.0,119.491,0.0,0.0,23.9,21.819,75.0,4.474,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,20.827,6.104,0.0,3.937,0.243,1.273,0.036,0.0,0.0,0.05,0.003,0.029,0.0,0.039,0.029,0.0,0.0,0.0,0.0,0.465,0.0,8.27318,8.27318,8.27318,8.27318,0.0,5.33563,0.32997,1.72565,0.04935,0.0,0.0,0.06785,0.00349,0.03941,0.0,0.05255,0.03872,0.0,0.0,0.0,0.0,0.63055,0.0,0.0,0.0,0.0,0.0,34.666,4.517,0.0,0.0,0.307,0.0,0.0,27.28,58.697,42.44,67.0,67.0,72.0,122.187,0.0,0.0,23.0,21.551,82.0,5.592,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,23.132,6.779,0.0,3.959,0.229,1.928,0.051,0.0,0.0,0.05,0.003,0.029,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.465,0.0,9.19019,9.19019,9.19019,9.19019,0.0,5.36668,0.31062,2.61375,0.06876,0.0,0.0,0.06787,0.00349,0.03942,0.0,0.05121,0.03773,0.0,0.0,0.0,0.0,0.63065,0.0,0.0,0.0,0.0,0.0,37.16,6.769,0.0,0.0,0.294,0.0,0.0,25.831,59.944,41.177,67.0,67.0,72.0,118.725,0.0,0.0,23.9,22.157,79.0,3.355,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,25.522,7.058,1.44,3.977,0.224,2.19,0.056,0.0,0.0,0.05,0.003,0.029,0.0,0.037,0.027,0.0,0.0,0.0,0.0,0.465,1.44,9.78439,9.78439,9.57231,9.57231,0.21208,5.39439,0.30413,2.96992,0.07544,0.0,0.0,0.0679,0.00349,0.03944,0.0,0.04989,0.03676,0.0,0.0,0.0,0.0,0.63096,0.21208,0.0,0.0,0.0,0.0,38.335,7.848,0.0,0.0,0.288,0.0,0.0,24.696,60.279,40.126,67.0,67.0,70.0,118.724,0.0,0.0,23.9,21.821,75.0,3.355,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,36.857,10.356,1.52,3.936,0.17,5.531,0.11,0.0,0.0,0.05,0.003,0.029,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.465,1.52,14.31582,14.31582,14.09196,14.09196,0.22385,5.35575,0.23082,7.52663,0.14999,0.0,0.0,0.06812,0.0035,0.03957,0.0,0.0487,0.03588,0.0,0.0,0.0,0.0,0.63301,0.22385,0.0,0.0,2.379,0.914,45.816,19.305,0.0,1.897,0.29,1.0,0.0,23.043,60.612,39.191,69.043,70.0,70.0,119.628,0.0,0.0,23.0,21.551,82.0,0.0,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,42.489,12.03,1.44,3.954,0.154,7.062,0.126,0.0,0.0,0.101,0.005,0.023,0.0,0.036,0.026,0.0,0.0,0.0,0.0,0.542,1.44,16.60811,16.60811,16.39603,16.39603,0.21209,5.38928,0.20927,9.62434,0.17216,0.0,0.0,0.13826,0.00711,0.03188,0.0,0.04878,0.03594,0.0,0.0,0.0,0.0,0.73903,0.21209,0.0,0.0,0.0,0.0,50.901,24.515,0.0,0.0,0.291,0.0,0.0,22.87,62.459,38.47,69.712,70.0,70.0,123.055,0.0,0.0,23.9,22.494,83.0,4.474,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,41.088,11.603,1.495,4.024,0.157,6.694,0.123,0.0,0.0,0.05,0.003,0.022,0.0,0.038,0.028,0.0,0.0,0.0,0.0,0.465,1.495,16.45151,16.45151,16.23128,16.23128,0.22024,5.62942,0.21943,9.36327,0.17205,0.0,0.0,0.07003,0.0036,0.03095,0.0,0.05284,0.03894,0.0,0.0,0.0,0.0,0.65075,0.22024,0.0,0.0,1.691,0.649,51.404,23.237,0.0,1.35,0.281,0.0,0.0,23.228,63.44,37.971,69.913,70.0,70.0,124.209,0.0,0.0,23.9,22.494,83.0,4.474,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,45.178,11.304,6.608,4.048,0.164,5.995,0.116,0.0,0.0,0.252,0.013,0.021,0.0,0.04,0.029,0.0,0.0,0.0,0.0,0.626,6.608,16.50648,16.50648,15.53314,15.53314,0.97334,5.56201,0.2247,8.23767,0.15987,0.0,0.0,0.34605,0.01779,0.02953,0.0,0.05464,0.04026,0.0,0.0,0.0,0.0,0.8606,0.97334,0.0,0.0,5.774,2.218,49.552,20.731,0.0,4.604,0.276,0.0,0.0,23.427,63.703,37.653,69.973,70.0,70.0,124.555,0.0,0.0,23.9,22.745,86.0,4.474,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,41.34,9.328,9.511,4.225,0.199,3.817,0.081,0.0,0.0,0.266,0.014,0.021,0.0,0.041,0.03,0.0,0.0,0.0,0.0,0.635,9.511,11.77819,11.77819,10.37723,10.37723,1.40097,4.69973,0.2212,4.2463,0.09014,0.0,0.0,0.29597,0.01521,0.02321,0.0,0.04534,0.03341,0.0,0.0,0.0,0.0,0.70673,1.40097,0.0,0.0,9.825,3.774,45.735,13.179,0.0,7.828,0.274,0.0,0.0,27.085,63.861,37.963,69.992,70.0,70.0,114.212,0.0,0.0,29.84,27.459,76.0,4.474,15.533,11.095
