occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0688,0.0688,0,0,0,0,0.333,0.513,0.513,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.127,0.127,0.25,0,0,0,0.344,0.522,0.522,0,0,0.204
0.75,0.252,0.252,0,0,0,0,0.457,0.626,0.626,0,0,0.141
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.25,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0
0.25,0.158,0.158,0,0,0,0,0.277,0.55,0.55,0,0,0
0.25,0.153,0.153,0,0,0,0,0.281,0.555,0.555,0,0,0.0791
0.25,0.15,0.15,0,0,0,0,0.277,0.56,0.56,0,0,0
0.25,0.149,0.149,0,0,0,0,0.291,0.56,0.56,0,0,0.119
0.5,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0.0791
0.5,0.152,0.152,0,0,0,0,0.305,0.564,0.564,0,0,0.0395
0.5,0.163,0.163,0,0,0,0,0.33,0.574,0.574,0,0,0.27
0.5,0.194,0.194,0.133,0,0,0,0.379,0.593,0.593,0,0,0.198
0.75,0.439,0.439,0.9,0,0,0,0.569,0.729,0.729,0,0,0.435
0.75,0.525,0.525,0,0.483,0,0,0.597,0.701,0.701,0,0,0.158
0.75,0.52,0.52,0,1,0,0,0.625,0.673,0.673,0.786,0,0.158
0.75,0.24,0.24,0,0.133,0,0,0.435,0.56,0.56,0.16,0,0.102
1,0.16,0.16,0,0,0,0,0.4,0.536,0.536,0,0,0.626
1,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.282
1,0.0875,0.0875,0,0,0,0,0.409,0.56,0.56,0,0,0.0914
1,0.0563,0.0563,0,0,0,0,0.323,0.504,0.504,0,0,0.0937
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0568
0.75,0.0756,0.0756,0,0,0,0,0.319,0.504,0.504,0,0,0.0537
0.5,0.127,0.127,0,0,0,0,0.344,0.522,0.522,0,0,0.11
0.5,0.252,0.252,0,0,0,0,0.457,0.626,0.626,0,0,0.175
0.5,0.266,0.266,0,0,0,0,0.367,0.635,0.635,0,0,0.582
0.5,0.273,0.273,0,0,0,0,0.29,0.635,0.635,0,0,0.295
0.5,0.266,0.266,0,0,0,0,0.297,0.635,0.635,0,0,0.418
0.5,0.257,0.257,0,0,0.717,0.0833,0.304,0.645,0.645,0,0.409,0.225
0.25,0.15,0.15,0,0,0,1,0.277,0.56,0.56,0,0.453,0.0791
0.25,0.149,0.149,0,0,0,1,0.291,0.56,0.56,0,0.542,0.119
0.25,0.149,0.149,0,0,0,0.367,0.302,0.555,0.555,0,0.193,0.158
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.147
0.25,0.163,0.163,0,0,0,0,0.33,0.574,0.574,0,0,0.384
0.5,0.338,0.338,0,0,0,0,0.499,0.72,0.72,0,0,0.0395
0.5,0.439,0.439,0.25,0,0,0,0.569,0.729,0.729,0,0,0.119
0.5,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0,0.0395
0.5,0.52,0.52,0,0,0,0,0.625,0.673,0.673,0,0,0.0791
0.5,0.429,0.429,0.383,0,0,0,0.611,0.654,0.654,0,0,0.0791
0.75,0.271,0.271,0.133,0,0,0,0.541,0.607,0.607,0,0,0.131
1,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.319,0.494,0.494,0,0,0.13
1,0.05,0.05,0,0,0.233,0.317,0.258,0.465,0.465,0,0.26,0.316
1,0.101,0.101,0,0,0,0.217,0.381,0.542,0.542,0,0.337,0.2
1,0.281,0.281,0,0,0.5,0,0.515,0.636,0.636,0,0.324,0.0758
0.75,0.352,0.352,0,0,0.217,0.833,0.557,0.706,0.706,0,0.558,0.0395
0.5,0.266,0.266,0,0,0,0.517,0.367,0.635,0.635,0,0.529,0.0395
0.5,0.273,0.273,0,0,0,0,0.29,0.635,0.635,0,0.117,0.0791
0.25,0.158,0.158,0,0,0,0,0.277,0.55,0.55,0,0,0
0.25,0.153,0.153,0,0,0,0,0.281,0.555,0.555,0,0,0
0.25,0.15,0.15,0,0,0,0,0.277,0.56,0.56,0,0,0.277
0.25,0.149,0.149,0,0,0,0,0.291,0.56,0.56,0,0,0.0395
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0.0395
0.25,0.152,0.152,0,0,0,0,0.305,0.564,0.564,0,0,0.0395
0.25,0.163,0.163,0,0,0,0,0.33,0.574,0.574,0,0,0.0395
0.25,0.194,0.194,0,0.483,0,0,0.379,0.593,0.593,0,0,0.341
0.5,0.439,0.439,0,1,0.483,0.0667,0.569,0.729,0.729,0.546,0.662,0.24
0.5,0.525,0.525,0,0.133,0,1,0.597,0.701,0.701,0.319,0.426,0.0395
0.5,0.52,0.52,0,0,0,0.567,0.625,0.673,0.673,0,0.506,0.119
0.75,0.619,0.619,0,0,0,0,0.788,0.749,0.749,0,0,0.0395
1,0.16,0.16,0,0,0,0,0.4,0.536,0.536,0,0,0.119
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.119
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0.517,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0
0.5,0.266,0.266,0,0,0,0,0.297,0.635,0.635,0,0,0.129
0.5,0.257,0.257,0,0,0,0,0.304,0.645,0.645,0,0,0.611
0.5,0.25,0.25,0,0,0,0,0.297,0.654,0.654,0,0,0.11
0.5,0.248,0.248,0,0,0,0,0.325,0.654,0.654,0,0,0.0791
0.5,0.248,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0.0395
0.5,0.254,0.254,0,0,0,0,0.353,0.664,0.664,0,0,0.0791
0.5,0.276,0.276,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.338,0.338,0,0.233,0,0,0.499,0.72,0.72,0,0,0.316
0.75,0.634,0.634,0,1,0,0,0.725,0.861,0.861,0.499,0,0.119
0.5,0.525,0.525,0,0.65,0,0,0.597,0.701,0.701,0.694,0,0.198
0.5,0.52,0.52,0,0,0,0,0.625,0.673,0.673,0.142,0,0.295
1,0.808,0.808,0,0,0,0,0.965,0.843,0.843,0,0,0.119
1,0.271,0.271,0,0,0,0,0.541,0.607,0.607,0,0,0.0791
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.158
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.119
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0514,0.0514,0,0,0,0,0.309,0.499,0.499,0,0,0.0805
0.75,0.0756,0.0756,0,0,0,0,0.319,0.504,0.504,0,0,0
0.5,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.106
0.5,0.158,0.158,0,0,0,0,0.312,0.55,0.55,0,0,0.203
0.25,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0.379
0.25,0.158,0.158,0,0,0,0,0.277,0.55,0.55,0,0,0.119
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.198
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.119
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0.0791
0.25,0.152,0.152,0.883,0,0,0,0.305,0.564,0.564,0,0,0
0.25,0.163,0.163,1,0,0,0,0.33,0.574,0.574,0,0,0
0.5,0.338,0.338,1,0,0,0,0.499,0.72,0.72,0,0,0
0.75,0.634,0.634,1,0,0,0,0.725,0.861,0.861,0,0,0.0791
0.5,0.525,0.525,1,0,0,0,0.597,0.701,0.701,0,0,0.237
0.5,0.52,0.52,0.683,0,0,0,0.625,0.673,0.673,0,0,0.142
0.5,0.429,0.429,0.383,0,0,0,0.611,0.654,0.654,0,0,0.125
0.75,0.16,0.16,0,0,0,0,0.4,0.536,0.536,0,0,0.198
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0791
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0242
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0967
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.151,0.151,0.517,0,0,0,0.358,0.546,0.546,0,0,0.0791
1,0.158,0.158,0,0,0,0,0.312,0.55,0.55,0,0,0.0395
1,0.384,0.384,0,0,0,0,0.306,0.72,0.72,0,0,0.204
0.75,0.374,0.374,0,0,0.25,0,0.316,0.72,0.72,0,0.14,0.15
0.75,0.36,0.36,0,0,0.467,0.583,0.327,0.735,0.735,0,0.0932,0.0395
0.5,0.15,0.15,0,0,0,0.767,0.277,0.56,0.56,0,0,0.119
0.5,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.277
0.75,0.149,0.149,0,0,0.483,0.267,0.302,0.555,0.555,0,0.544,0.0791
0.75,0.152,0.152,0,0,0,0,0.305,0.564,0.564,0,0.285,0
0.75,0.276,0.276,0,0,0,0,0.402,0.682,0.682,0,0.522,0.0395
0.5,0.194,0.194,0.133,0,0,0,0.379,0.593,0.593,0,0.292,0
0.75,0.439,0.439,0.117,0,0,0,0.569,0.729,0.729,0,0,0.0791
0.75,0.763,0.763,0,0,0.717,0.0833,0.767,0.819,0.819,0,0.303,0.251
0.5,0.52,0.52,0,0,0,1,0.625,0.673,0.673,0,0,0.356
0.5,0.429,0.429,0,0,0,0.267,0.611,0.654,0.654,0,0,0.198
0.5,0.271,0.271,0,0,0,0,0.541,0.607,0.607,0,0,0.158
0.5,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.0395
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.127,0.127,0,0,0,0,0.344,0.522,0.522,0,0,0.0943
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.75,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0.16
0.75,0.266,0.266,0,0,0,0,0.297,0.635,0.635,0,0,0.184
0.75,0.36,0.36,0,0,0,0,0.327,0.735,0.735,0,0,0.0612
0.5,0.25,0.25,0,0,0,0,0.297,0.654,0.654,0,0,0.151
0.25,0.149,0.149,0,0,0,0,0.291,0.56,0.56,0,0,0.134
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0.138
