Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Range/Oven,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Crawlspace - Vented,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,9.091,0.242,8.266,0.059,0.0,0.0,0.021,0.021,0.0,0.08,0.0,0.061,8.266,0.0,0.0,1.36536,1.36536,0.14782,0.14782,1.21754,0.036,0.0,0.0,0.01311,0.0126,0.0,0.0486,0.0,0.0375,1.21754,0.0,0.0,0.0,0.0,6.735,0.0,0.0,0.0,0.0,36.976,68.005,68.0,70.0,91.988,0.0,0.0,35.96,33.578,79.0,20.804,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,10.113,0.248,9.268,0.067,0.0,0.0,0.021,0.021,0.0,0.078,0.0,0.061,9.268,0.0,0.0,1.51617,1.51617,0.15096,0.15096,1.36521,0.04064,0.0,0.0,0.01308,0.01257,0.0,0.04727,0.0,0.0374,1.36521,0.0,0.0,0.0,0.0,7.602,0.0,0.0,0.0,0.0,37.829,68.001,68.0,70.0,114.835,0.0,0.0,35.96,33.228,76.0,26.396,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,9.254,0.239,8.438,0.06,0.0,0.0,0.021,0.021,0.0,0.076,0.0,0.061,8.438,0.0,0.0,1.38669,1.38669,0.14378,0.14378,1.24291,0.03617,0.0,0.0,0.0129,0.0124,0.0,0.04542,0.0,0.03689,1.24291,0.0,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0,37.579,67.997,68.0,70.0,92.578,0.0,0.0,35.06,32.049,73.0,20.804,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,8.702,0.233,7.907,0.056,0.0,0.0,0.021,0.021,0.0,0.074,0.0,0.061,7.907,0.0,0.0,1.30776,1.30776,0.1431,0.1431,1.16465,0.03442,0.0,0.0,0.01317,0.01266,0.0,0.04517,0.0,0.03767,1.16465,0.0,0.0,0.0,0.0,6.422,0.0,0.0,0.0,0.0,37.313,67.997,68.0,70.0,77.608,0.0,0.0,33.98,30.897,73.0,16.106,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,8.698,0.231,7.909,0.056,0.0,0.0,0.021,0.021,0.0,0.072,0.0,0.061,7.909,0.0,0.0,1.3049,1.3049,0.13989,0.13989,1.16501,0.03398,0.0,0.0,0.01298,0.01248,0.0,0.04332,0.0,0.03713,1.16501,0.0,0.0,0.0,0.0,6.422,0.0,0.0,0.0,0.0,37.469,67.999,68.0,70.0,77.608,0.0,0.0,33.98,31.237,76.0,16.106,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,8.666,0.227,7.891,0.056,0.0,0.0,0.021,0.017,0.0,0.072,0.0,0.061,7.891,0.0,0.0,1.29734,1.29734,0.13497,0.13497,1.16237,0.03331,0.0,0.0,0.01276,0.00986,0.0,0.04256,0.0,0.03648,1.16237,0.0,0.0,0.0,0.0,6.406,0.0,0.0,0.0,0.0,37.325,67.994,68.0,70.0,75.166,0.0,0.0,33.08,30.002,72.0,14.987,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,8.273,0.227,7.498,0.053,0.0,0.0,0.021,0.016,0.0,0.076,0.0,0.061,7.498,0.0,0.0,1.23964,1.23964,0.13514,0.13514,1.1045,0.03153,0.0,0.0,0.01277,0.00934,0.0,0.04497,0.0,0.03652,1.1045,0.0,0.0,0.0,0.0,6.061,0.0,0.0,0.0,0.0,37.682,68.002,68.0,70.0,68.796,0.0,0.0,33.98,30.221,67.0,12.751,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,11.844,0.236,11.039,0.058,0.0,0.0,0.021,0.015,0.0,0.08,0.0,0.061,8.161,2.879,0.0,1.76159,1.76159,0.13548,0.13548,1.62611,0.03341,0.0,0.0,0.01233,0.00876,0.0,0.04571,0.0,0.03526,1.20205,0.42406,0.0,2.522,0.994,6.641,0.0,2.171,0.0,0.0,37.878,68.002,68.0,70.0,81.019,0.0,0.0,33.98,29.649,62.0,17.224,6.023,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,8.811,0.347,7.628,0.053,0.0,0.0,0.114,0.015,0.0,0.082,0.0,0.084,7.497,0.131,0.0,1.29841,1.29841,0.17481,0.17481,1.1236,0.02669,0.0,0.0,0.05735,0.00746,0.0,0.04108,0.0,0.04223,1.10429,0.01931,0.0,0.115,0.045,6.06,0.0,0.099,0.0,0.0,37.952,67.996,68.0,70.0,74.431,0.0,0.0,33.98,29.306,59.0,14.987,15.533,31.7
