Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Hot Water: Clothes Washer,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Garage,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T07:00:00Z,0.907,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.007,0.0,0.037,0.0,0.0,0.0,0.007,0.201,0.30823,0.30823,0.30823,0.30823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01527,0.00061,0.00843,0.0,0.04249,0.0,0.0,0.0,0.00868,0.23275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,62.952,64.732,68.53,64.0,75.0,46.25,0.0,0.0,62.96,61.645,93.0,6.935,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T08:00:00Z,1.006,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.007,0.03,0.036,0.0,0.0,0.0,0.007,0.201,0.34371,0.34371,0.34371,0.34371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01535,0.00062,0.00847,0.03496,0.04164,0.0,0.0,0.0,0.00872,0.23394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,62.674,64.446,67.739,64.0,75.0,14.178,99.99,0.0,62.96,61.644,93.0,6.935,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T09:00:00Z,2.133,0.625,0.34,0.021,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.007,0.0,0.035,0.0,0.0,0.0,0.007,0.201,0.72975,0.72975,0.72975,0.72975,0.39647,0.02509,0.0,0.0,0.0,0.0,0.0,0.01538,0.00062,0.00849,0.0,0.04064,0.0,0.0,0.0,0.00873,0.23434,0.0,0.0,0.0,3.324,0.0,0.0,0.0,0.136,0.0,0.0,62.554,64.173,69.886,70.0,75.0,43.418,0.0,0.0,62.96,62.4,97.0,6.935,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T10:00:00Z,2.068,0.606,0.323,0.02,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.007,0.0,0.034,0.0,0.0,0.0,0.007,0.201,0.70262,0.70262,0.70262,0.70262,0.37408,0.02355,0.0,0.0,0.0,0.0,0.0,0.01527,0.00061,0.00843,0.0,0.0393,0.0,0.0,0.0,0.00867,0.2327,0.0,0.0,0.0,3.305,0.0,0.0,0.0,0.135,0.0,0.0,63.545,64.01,69.996,70.0,75.0,63.789,0.0,0.0,64.04,62.702,93.0,10.29,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T11:00:00Z,2.275,0.667,0.381,0.024,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.007,0.0,0.033,0.0,0.0,0.0,0.007,0.201,0.76344,0.76344,0.76344,0.76344,0.436,0.02727,0.0,0.0,0.0,0.0,0.0,0.01508,0.00061,0.00832,0.0,0.03776,0.0,0.0,0.0,0.00857,0.22983,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.135,0.0,0.0,64.441,64.017,70.0,70.0,75.0,102.828,0.0,0.0,64.94,63.584,93.0,16.106,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T12:00:00Z,2.773,0.813,0.35,0.022,0.0,0.0,0.0,0.0,0.0,0.013,0.001,0.006,0.0,0.033,0.0,0.0,0.18,0.007,0.201,0.92695,0.92695,0.92695,0.92695,0.39959,0.02496,0.0,0.0,0.0,0.0,0.0,0.01503,0.0006,0.00667,0.0,0.03763,0.0,0.0,0.20496,0.00854,0.22899,0.0,0.0,0.0,3.603,0.0,0.0,0.0,0.134,0.0,0.0,64.67,64.008,70.0,70.0,75.0,111.477,0.0,0.0,64.94,63.584,93.0,17.224,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T13:00:00Z,3.831,1.123,0.289,0.018,0.0,0.0,0.0,0.0,0.0,0.094,0.004,0.006,0.0,0.035,0.0,0.0,0.36,0.017,0.299,1.26346,1.26346,1.26346,1.26346,0.32554,0.0203,0.0,0.0,0.0,0.0,0.0,0.10619,0.00427,0.00623,0.0,0.03919,0.0,0.0,0.40542,0.01962,0.33671,0.0,0.0,0.0,2.971,0.0,0.0,0.0,0.133,0.0,0.0,64.547,63.961,70.0,70.0,75.0,102.832,0.0,0.0,64.94,62.393,87.0,16.106,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T14:00:00Z,2.879,0.844,0.3,0.019,0.0,0.0,0.0,0.0,0.0,0.119,0.005,0.005,0.0,0.037,0.0,0.0,0.0,0.019,0.34,0.83746,0.83746,0.83746,0.83746,0.29783,0.01857,0.0,0.0,0.0,0.0,0.0,0.11846,0.00476,0.00533,0.0,0.03638,0.0,0.0,0.0,0.01891,0.33722,0.0,0.0,0.0,3.081,0.0,0.0,0.0,0.133,0.0,0.0,64.659,63.942,70.0,70.0,75.0,120.344,0.0,0.0,64.94,62.393,87.0,18.343,5.072,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T15:00:00Z,2.556,0.749,0.2,0.012,0.0,0.0,0.0,0.0,0.0,0.127,0.005,0.005,0.0,0.038,0.0,0.0,0.0,0.014,0.348,0.63535,0.63535,0.63535,0.63535,0.16986,0.01047,0.0,0.0,0.0,0.0,0.0,0.10761,0.00432,0.00442,0.0,0.03186,0.0,0.0,0.0,0.01168,0.29511,0.0,0.0,0.0,2.058,0.0,0.0,0.0,0.132,0.0,0.0,66.117,64.172,70.0,70.0,75.0,130.373,0.0,0.0,66.02,63.432,87.0,19.685,31.066,0.0
