Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Clothes Dryer,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Clothes Washer,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Crawlspace - Vented,Temperature: Garage,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,16.829,0.495,15.14,0.0,0.05,0.0,0.079,0.002,0.042,0.0,0.04,0.0,0.0,0.0,0.005,0.277,15.14,0.0,0.0,0.0,2.91014,2.91014,0.68003,0.68003,2.23011,0.0,0.06867,0.0,0.10788,0.00324,0.05735,0.0,0.05462,0.0,0.0,0.0,0.00742,0.38085,2.23011,0.0,0.0,0.0,0.0,0.0,0.0,10.295,0.0,0.0,0.461,0.0,0.0,44.074,43.679,46.09,67.0,67.0,72.0,83.8,0.0,0.0,47.84,46.815,93.0,5.592,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,17.01,0.494,15.324,0.0,0.05,0.0,0.079,0.002,0.042,0.0,0.039,0.0,0.0,0.0,0.005,0.277,15.324,0.0,0.0,0.0,2.927,2.927,0.66974,0.66974,2.25727,0.0,0.06777,0.0,0.10646,0.0032,0.05659,0.0,0.05255,0.0,0.0,0.0,0.00733,0.37583,2.25727,0.0,0.0,0.0,0.0,0.0,0.0,10.421,0.0,0.0,0.451,0.0,0.0,45.605,44.434,46.435,67.0,67.0,72.0,80.452,0.0,0.0,47.84,47.403,97.0,3.355,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,17.318,0.493,15.636,0.0,0.05,0.0,0.079,0.002,0.042,0.0,0.038,0.0,0.0,0.0,0.005,0.277,15.636,0.0,0.0,0.0,2.97162,2.97162,0.6685,0.6685,2.30312,0.0,0.06778,0.0,0.10648,0.0032,0.0566,0.0,0.05121,0.0,0.0,0.0,0.00733,0.3759,2.30312,0.0,0.0,0.0,0.0,0.0,0.0,10.632,0.0,0.0,0.443,0.0,0.0,45.403,44.175,46.801,67.0,67.0,72.0,82.815,0.0,0.0,46.94,46.367,96.0,3.355,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,3.522,0.492,1.843,0.0,0.05,0.0,0.079,0.002,0.042,0.0,0.037,0.0,0.0,0.0,0.005,0.277,0.0,1.843,0.0,0.0,0.93897,0.93897,0.66747,0.66747,0.2715,0.0,0.06781,0.0,0.10653,0.0032,0.05663,0.0,0.04989,0.0,0.0,0.0,0.00733,0.37608,0.0,0.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.0,0.0,45.537,44.249,47.069,64.518,64.0,72.0,86.071,0.0,0.0,46.94,46.366,96.0,5.592,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,5.997,0.491,4.321,0.0,0.05,0.0,0.079,0.002,0.042,0.0,0.036,0.0,0.0,0.0,0.005,0.277,4.321,0.0,0.0,0.0,1.30476,1.30476,0.66829,0.66829,0.63647,0.0,0.06803,0.0,0.10688,0.00321,0.05682,0.0,0.0487,0.0,0.0,0.0,0.00735,0.3773,0.63647,0.0,0.0,0.0,0.0,0.0,0.0,2.984,0.0,0.0,0.472,0.0,0.0,45.642,44.451,47.229,64.017,64.0,72.0,76.207,0.0,0.0,46.94,46.366,96.0,3.355,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,8.323,0.483,6.675,0.0,0.05,0.0,0.079,0.002,0.034,0.0,0.036,0.0,0.0,0.0,0.005,0.277,4.78,1.895,0.0,0.0,1.64144,1.64144,0.65824,0.65824,0.9832,0.0,0.06814,0.0,0.10705,0.00322,0.04577,0.0,0.04878,0.0,0.0,0.0,0.00737,0.37791,0.70404,0.27916,0.0,0.0,0.0,1.615,0.62,3.252,0.0,1.29,0.473,0.0,0.0,45.708,44.572,47.331,64.001,64.0,72.0,76.298,0.0,0.0,46.94,46.367,96.0,4.474,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,17.227,1.124,13.39,0.0,0.05,0.0,0.562,0.017,0.032,0.0,0.038,0.0,0.0,0.0,0.013,0.413,5.756,7.634,0.0,0.0,3.5453,3.5453,1.57293,1.57293,1.97236,0.0,0.06994,0.0,0.78641,0.02362,0.04444,0.0,0.05284,0.0,0.0,0.0,0.01761,0.57806,0.84781,1.12455,0.0,0.0,0.0,5.758,2.212,3.914,0.0,4.609,0.474,0.0,0.0,45.841,44.657,47.44,64.0,64.0,72.0,78.383,0.0,0.0,46.94,46.367,96.0,5.592,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,13.494,0.911,10.387,0.0,0.05,0.0,0.395,0.012,0.031,0.0,0.04,0.0,0.0,0.0,0.01,0.373,8.011,2.376,0.0,0.0,2.78115,2.78115,1.25116,1.25116,1.52999,0.0,0.06871,0.0,0.54298,0.01631,0.04241,0.0,0.05464,0.0,0.0,0.0,0.01316,0.51296,1.18,0.34999,0.0,0.0,0.0,1.276,0.49,5.447,0.0,1.023,0.475,0.0,0.0,45.149,44.214,47.411,64.0,64.0,72.0,99.376,0.0,0.0,44.96,44.96,100.0,10.29,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,15.49,0.937,12.292,0.0,0.05,0.0,0.418,0.013,0.03,0.0,0.041,0.0,0.0,0.0,0.008,0.379,8.521,3.771,0.0,0.0,2.85327,2.85327,1.04263,1.04263,1.81064,0.0,0.05562,0.0,0.46459,0.01395,0.03332,0.0,0.04534,0.0,0.0,0.0,0.00855,0.42124,1.25518,0.55546,0.0,0.0,0.0,3.098,1.19,5.794,0.0,2.483,0.474,0.0,0.0,44.737,43.718,47.361,64.0,64.0,72.0,86.222,0.0,0.0,43.88,42.935,93.0,5.592,8.559,0.0
