Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Hot Water,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Freezer,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Plug Loads,End Use: Natural Gas: Grill,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Grill,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Crawlspace - Vented,Temperature: Garage,Temperature: Living Space,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,22.504,6.582,0.044,0.103,0.009,0.0,0.0,0.0,0.09,0.004,0.033,0.0,0.084,0.029,0.0,0.073,5.812,0.0,0.347,0.044,8.54224,8.54224,8.53576,8.53576,0.00648,0.13302,0.01158,0.0,0.0,0.0,0.11716,0.00497,0.04261,0.0,0.1086,0.03799,0.0,0.09407,7.53631,0.0,0.44945,0.00648,1.826,0.0,0.552,0.164,1.127,0.0,1.099,0.113,0.0,0.0,59.735,60.243,73.405,73.5,73.5,73.5,89.735,171.485,0.0,55.4,54.403,94.0,3.355,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,5.842,1.709,0.011,0.221,0.019,0.0,0.0,0.943,0.066,0.003,0.033,0.0,0.082,0.029,0.0,0.0,0.0,0.0,0.314,0.011,2.17486,2.17486,2.17324,2.17324,0.00162,0.28055,0.02459,0.0,0.0,1.19921,0.08358,0.00354,0.04179,0.0,0.10383,0.03633,0.0,0.0,0.0,0.0,0.39982,0.00162,0.0,0.0,5.537,1.645,2.407,0.0,3.098,0.114,0.0,0.0,56.118,60.732,73.037,73.5,73.5,73.5,176.782,0.0,0.0,55.4,54.403,94.0,3.355,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,2.773,0.809,0.011,0.263,0.023,0.0,0.0,0.0,0.066,0.003,0.033,0.0,0.08,0.028,0.0,0.0,0.0,0.0,0.314,0.011,1.0283,1.0283,1.02668,1.02668,0.00162,0.33388,0.02924,0.0,0.0,0.0,0.08337,0.00353,0.04168,0.0,0.10091,0.0353,0.0,0.0,0.0,0.0,0.39878,0.00162,0.0,0.0,0.0,0.0,2.876,0.0,0.0,0.111,0.0,0.0,53.868,61.353,72.895,73.5,73.5,73.5,176.782,0.0,0.0,55.4,54.403,94.0,3.355,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,4.266,1.244,0.022,0.297,0.026,0.0,0.0,0.4,0.066,0.003,0.033,0.0,0.077,0.027,0.0,0.0,0.0,0.0,0.314,0.022,1.54802,1.54802,1.54478,1.54478,0.00324,0.36951,0.03236,0.0,0.0,0.49659,0.08164,0.00346,0.04082,0.0,0.09622,0.03366,0.0,0.0,0.0,0.0,0.39053,0.00324,0.0,0.0,0.548,0.163,3.25,0.0,0.31,0.117,0.0,0.0,52.335,61.281,72.753,73.5,73.5,73.5,176.782,0.0,0.0,55.4,54.403,94.0,3.355,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,3.053,0.872,0.077,0.326,0.029,0.0,0.0,0.0,0.066,0.003,0.033,0.0,0.075,0.026,0.0,0.0,0.0,0.0,0.314,0.077,1.09,1.09,1.07866,1.07866,0.01134,0.40327,0.03531,0.0,0.0,0.0,0.08129,0.00345,0.04064,0.0,0.09322,0.03261,0.0,0.0,0.0,0.0,0.38886,0.01134,0.0,0.0,1.106,0.329,3.563,0.0,0.62,0.115,0.0,0.0,51.783,61.255,72.564,73.5,73.5,73.5,176.782,0.0,0.0,55.4,54.403,94.0,3.355,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,4.408,1.253,0.132,0.293,0.025,0.0,0.0,0.424,0.066,0.003,0.026,0.0,0.075,0.026,0.0,0.0,0.0,0.0,0.314,0.132,1.58148,1.58148,1.56204,1.56204,0.01944,0.36533,0.0316,0.0,0.0,0.52802,0.08193,0.00347,0.03295,0.0,0.09395,0.03287,0.0,0.0,0.0,0.0,0.39191,0.01944,0.0,0.0,2.392,0.711,3.236,0.0,1.337,0.116,0.0,0.0,52.534,61.699,72.401,73.5,73.5,73.5,165.262,0.0,0.0,57.2,55.122,88.0,3.355,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,6.882,1.923,0.319,0.292,0.025,0.0,0.0,0.948,0.166,0.007,0.025,0.0,0.08,0.028,0.0,0.0,0.0,0.0,0.353,0.319,2.32574,2.32574,2.27877,2.27877,0.04697,0.34599,0.02993,0.0,0.0,1.1228,0.19705,0.00835,0.02962,0.0,0.09426,0.03298,0.0,0.0,0.0,0.0,0.41778,0.04697,0.0,0.0,5.671,1.685,3.222,0.0,3.17,0.116,0.0,0.0,52.248,61.542,72.238,73.5,73.5,73.5,164.423,0.0,0.0,57.2,55.122,88.0,0.0,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,24.262,6.962,0.506,0.174,0.015,0.0,0.0,1.555,0.595,0.025,0.024,0.0,0.084,0.029,0.0,0.131,3.436,0.363,0.531,0.506,6.73296,6.73296,6.65846,6.65846,0.0745,0.16629,0.01435,0.0,0.0,1.48703,0.56881,0.02412,0.02323,0.0,0.08009,0.02802,0.0,0.12551,3.28586,0.34739,0.50778,0.0745,3.852,0.0,5.07,1.507,1.919,0.0,4.503,0.116,0.0,0.0,53.264,61.509,72.084,73.5,73.5,73.5,101.71,101.38,0.0,57.2,56.172,94.0,0.0,0.951,76.714
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,25.699,7.39,0.484,0.0,0.0,0.17,0.049,1.011,0.633,0.027,0.024,0.0,0.086,0.03,0.21,0.0,4.268,0.339,0.544,0.484,6.40381,6.40381,6.33255,6.33255,0.07126,0.0,0.0,0.14564,0.04211,0.86603,0.54274,0.02301,0.0202,0.0,0.07356,0.02574,0.18007,0.0,3.65744,0.2901,0.4659,0.07126,1.164,1.297,5.502,1.635,0.0,2.243,4.13,0.116,0.0,0.0,63.074,63.148,72.092,73.5,73.5,73.5,46.591,125.938,0.0,66.2,62.771,83.0,5.816,14.899,219.68
