original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G0100010,722265,Maxwell_Afb,44.913795,-88.641293,44.48,-88.13,19.038400479794948
G0100030,722235,Mobile_Downtown_Ap,44.913795,-88.641293,44.48,-88.13,30.80432469768539
G0100050,722250,Fort_Benning_Lawson,44.913795,-88.641293,44.48,-88.13,63.409084276469216
G0100070,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,50.45484813455088
G0100090,722280,Birmingham_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,45.28801993939718
G0100110,722267,Troy_Af,44.913795,-88.641293,44.48,-88.13,40.68406054621578
G0100130,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,63.2503808422933
G0100150,722287,Anniston_Metropolitan_Ap,44.913795,-88.641293,44.48,-88.13,16.425013595148158
G0100170,722284,Auburn_Opelika_Apt,44.913795,-88.641293,44.48,-88.13,30.81086080477902
G0100190,722285,Gadsen_Muni_Awos,44.913795,-88.641293,44.48,-88.13,47.61519877686598
G0100210,722265,Maxwell_Afb,44.913795,-88.641293,44.48,-88.13,63.731599483937245
G0100230,722340,Meridian_Key_Field,44.913795,-88.641293,44.48,-88.13,57.51278904345749
G0100250,722340,Meridian_Key_Field,44.913795,-88.641293,44.48,-88.13,113.58746621466874
G0100270,722287,Anniston_Metropolitan_Ap,44.913795,-88.641293,44.48,-88.13,34.32441973735749
G0100290,722287,Anniston_Metropolitan_Ap,44.913795,-88.641293,44.48,-88.13,33.41259219036867
G0100310,722269,Cairns_Field_Fort_Rucker,44.913795,-88.641293,44.48,-88.13,19.907715232167273
G0100330,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,8.32732265908859
G0100350,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,113.07148753581889
G0100370,722265,Maxwell_Afb,44.913795,-88.641293,44.48,-88.13,68.75273006239776
G0100390,722269,Cairns_Field_Fort_Rucker,44.913795,-88.641293,44.48,-88.13,65.70031929461803
